,day,time,open,high,low,close
328,20210331,11:45:00,955.49,955.58,955.46,955.54
329,20210331,11:42:00,955.13,955.54,955.13,955.52
330,20210331,11:39:00,954.82,955.15,954.8000000000001,955.15
331,20210331,11:36:00,954.59,954.86,954.57,954.79
332,20210331,11:33:00,954.19,954.53,954.19,954.53
333,20210331,11:30:00,954.33,954.37,954.1700000000001,954.1700000000001
334,20210331,11:27:00,954.6700000000001,954.6700000000001,954.24,954.24
335,20210331,11:24:00,954.73,954.73,954.45,954.62
336,20210331,11:21:00,954.96,955.0500000000001,954.76,954.76
337,20210331,11:18:00,955.2,955.2,955.02,955.02
338,20210331,11:15:00,955.6700000000001,955.6700000000001,955.15,955.15
339,20210331,11:12:00,956.1700000000001,956.21,955.74,955.74
340,20210331,11:09:00,956.3100000000001,956.38,956.0600000000001,956.19
341,20210331,11:06:00,956.78,956.78,956.32,956.4200000000001
342,20210331,11:03:00,957.14,957.14,956.73,956.78
343,20210331,11:00:00,957.36,957.41,957.13,957.13
344,20210331,10:57:00,957.41,957.54,957.33,957.4300000000001
345,20210331,10:54:00,957.4200000000001,957.49,957.33,957.44
346,20210331,10:51:00,957.24,957.49,957.24,957.4
347,20210331,10:48:00,957.45,957.45,957.21,957.3000000000001
348,20210331,10:45:00,957.98,957.98,957.41,957.41
349,20210331,10:42:00,958.97,958.97,958.03,958.03
350,20210331,10:39:00,959.26,959.37,958.95,958.97
351,20210331,10:36:00,959.15,959.34,959.15,959.22
352,20210331,10:33:00,959.26,959.32,959.19,959.3100000000001
353,20210331,10:30:00,960.3100000000001,960.33,959.28,959.28
354,20210331,10:27:00,960.63,960.63,960.28,960.33
355,20210331,10:24:00,960.7,960.76,960.59,960.65
356,20210331,10:21:00,960.9200000000001,961.02,960.74,960.74
357,20210331,10:18:00,960.82,960.98,960.78,960.9300000000001
358,20210331,10:15:00,960.35,960.86,960.3100000000001,960.86
359,20210331,10:12:00,960.32,960.51,960.3100000000001,960.3100000000001
360,20210331,10:09:00,960.25,960.26,960.13,960.22
361,20210331,10:06:00,960.19,960.36,960.19,960.24
362,20210331,10:03:00,960.27,960.4,960.19,960.22
363,20210331,10:00:00,960.26,960.4300000000001,960.26,960.33
364,20210331,09:57:00,960.61,960.65,960.22,960.22
365,20210331,09:54:00,960.59,960.6700000000001,960.4200000000001,960.64
366,20210331,09:51:00,960.79,960.88,960.61,960.61
367,20210331,09:48:00,960.59,960.83,960.59,960.76
368,20210331,09:45:00,960.63,960.66,960.54,960.59
369,20210331,09:42:00,960.75,960.8100000000001,960.5500000000001,960.59
370,20210331,09:39:00,960.8000000000001,960.95,960.61,960.75
371,20210331,09:36:00,960.6800000000001,960.84,960.46,960.8000000000001
372,20210331,09:33:00,960.76,960.77,960.48,960.74
373,20210331,09:30:00,960.5600000000001,960.7,960.3100000000001,960.6700000000001
374,20210331,09:27:00,960.25,960.6,960.25,960.6
375,20210331,09:24:00,960.57,960.6800000000001,960.24,960.29
376,20210331,09:21:00,958.72,960.47,958.72,960.47
377,20210331,09:18:00,959.2,959.21,958.54,958.54
378,20210331,09:15:00,959.75,959.77,959.08,959.2
379,20210331,09:12:00,959.6700000000001,959.6700000000001,959.4200000000001,959.64
380,20210331,09:09:00,959.1800000000001,959.84,959.1800000000001,959.6700000000001
381,20210331,09:06:00,958.76,958.97,958.48,958.96
382,20210331,09:03:00,958.96,958.96,958.28,958.83
383,20210331,09:00:00,958.38,960.45,958.38,958.99
384,20210330,15:30:00,957.85,958.1,957.85,958.0600000000001
385,20210330,15:18:00,957.65,957.85,957.52,957.85
386,20210330,15:15:00,957.7,957.7,957.58,957.6700000000001
387,20210330,15:12:00,957.6700000000001,957.89,957.61,957.69
388,20210330,15:09:00,958.0600000000001,958.0600000000001,957.89,957.9300000000001
389,20210330,15:06:00,958.28,958.34,957.96,958.0500000000001
390,20210330,15:03:00,958.1,958.3000000000001,958.07,958.3000000000001
391,20210330,15:00:00,958.35,958.49,958.1,958.1700000000001
392,20210330,14:57:00,958.0500000000001,958.34,958.0500000000001,958.34
393,20210330,14:54:00,958.16,958.32,958.12,958.1700000000001
394,20210330,14:51:00,958.53,958.53,958.16,958.1700000000001
395,20210330,14:48:00,958.28,958.5600000000001,958.25,958.5600000000001
396,20210330,14:45:00,958.35,958.41,958.19,958.24
397,20210330,14:42:00,958.38,958.45,958.27,958.32
398,20210330,14:39:00,958.5500000000001,958.73,958.35,958.35
399,20210330,14:36:00,958.9300000000001,958.97,958.6,958.7
400,20210330,14:33:00,958.07,959.02,958.07,959.02
401,20210330,14:30:00,958.29,958.3000000000001,958.02,958.15
402,20210330,14:27:00,958.03,958.35,958.03,958.26
403,20210330,14:24:00,957.6,958.04,957.6,958.04
404,20210330,14:21:00,957.62,957.78,957.48,957.57
405,20210330,14:18:00,957.47,957.6,957.37,957.5500000000001
406,20210330,14:15:00,957.36,957.5500000000001,957.15,957.45
407,20210330,14:12:00,957.36,957.4,957.19,957.37
408,20210330,14:09:00,957.39,957.39,957.12,957.33
409,20210330,14:06:00,957.6700000000001,957.7,957.37,957.39
410,20210330,14:03:00,956.99,957.65,956.99,957.58
411,20210330,14:00:00,957.47,957.47,956.99,957.04
412,20210330,13:57:00,957.59,957.59,957.4300000000001,957.51
413,20210330,13:54:00,957.71,957.78,957.5500000000001,957.63
414,20210330,13:51:00,957.65,957.8000000000001,957.53,957.72
415,20210330,13:48:00,957.62,957.77,957.5500000000001,957.5500000000001
416,20210330,13:45:00,957.41,957.57,957.34,957.46
417,20210330,13:42:00,957.4200000000001,957.45,957.34,957.39
418,20210330,13:39:00,957.4,957.47,957.22,957.44
419,20210330,13:36:00,957.64,957.66,957.41,957.46
420,20210330,13:33:00,957.6,957.71,957.6,957.6800000000001
421,20210330,13:30:00,957.59,957.73,957.46,957.58
422,20210330,13:27:00,958.75,958.75,957.6700000000001,957.6700000000001
423,20210330,13:24:00,958.97,959.0600000000001,958.72,958.74
424,20210330,13:21:00,959.02,959.1,958.9,959.02
425,20210330,13:18:00,958.87,959.04,958.83,959.01
426,20210330,13:15:00,959.04,959.11,958.89,958.9300000000001
427,20210330,13:12:00,959.27,959.27,959.04,959.04
428,20210330,13:09:00,959.49,959.49,959.09,959.28
429,20210330,13:06:00,959.52,959.5600000000001,959.29,959.4300000000001
430,20210330,13:03:00,959.77,959.8100000000001,959.46,959.48
431,20210330,13:00:00,959.32,959.88,959.32,959.8100000000001
432,20210330,12:57:00,958.83,959.29,958.83,959.29
433,20210330,12:54:00,958.9200000000001,959.02,958.7,958.79
434,20210330,12:51:00,958.96,958.99,958.8000000000001,958.94
435,20210330,12:48:00,958.9300000000001,958.98,958.79,958.96
436,20210330,12:45:00,959.12,959.12,958.88,958.9300000000001
437,20210330,12:42:00,959.01,959.21,958.99,959.1
438,20210330,12:39:00,959.0500000000001,959.19,958.8100000000001,958.99
439,20210330,12:36:00,958.9200000000001,959.09,958.7,959.01
440,20210330,12:33:00,958.86,958.99,958.78,958.9
441,20210330,12:30:00,958.98,959.04,958.72,958.86
442,20210330,12:27:00,958.28,959.13,958.23,958.99
443,20210330,12:24:00,958.1700000000001,958.28,958.0600000000001,958.28
444,20210330,12:21:00,958.36,958.36,958.15,958.15
445,20210330,12:18:00,958.08,958.39,958.08,958.39
446,20210330,12:15:00,957.9200000000001,958.1,957.82,958.04
