,day,time,open,high,low,close,amount,5,20,60,120
227,20210401,10:24:00,959.25,959.5,959.21,959.4200000000001,15075,15217.2,21992.1,21271.466666666667,15262.35
228,20210401,10:21:00,959.07,959.33,958.96,959.33,15146,15788.0,22721.2,21215.566666666666,15298.291666666666
229,20210401,10:18:00,958.94,959.13,958.94,959.09,13964,16743.2,23878.6,21131.116666666665,15305.583333333334
230,20210401,10:15:00,958.91,959.07,958.82,958.97,17999,18366.8,25246.15,21108.416666666668,15300.691666666668
231,20210401,10:12:00,958.6700000000001,958.96,958.6700000000001,958.88,13902,20032.6,26131.6,20992.85,15265.708333333334
232,20210401,10:09:00,958.5500000000001,958.61,958.45,958.6,17929,21431.0,27619.65,20917.0,15286.058333333332
233,20210401,10:06:00,959.21,959.21,958.49,958.49,19922,22596.2,29161.8,20806.983333333334,15279.141666666666
234,20210401,10:03:00,959.19,959.27,959.08,959.14,22082,23604.6,31323.2,20607.016666666666,15243.558333333332
235,20210401,10:00:00,959.28,959.4,959.0500000000001,959.26,26328,24665.4,33072.55,20376.233333333334,15216.033333333333
236,20210401,09:57:00,959.04,959.28,959.02,959.25,20894,23294.4,35472.4,20067.616666666665,15116.316666666668
237,20210401,09:54:00,958.79,959.0600000000001,958.79,959.0600000000001,23755,23754.0,37064.9,19874.1,15055.533333333333
238,20210401,09:51:00,958.52,958.75,958.36,958.72,24964,24106.0,36633.9,19612.183333333334,14960.383333333333
