,day,open,high,low,close
333,20191126,"2,129.27","2,139.64","2,120.85","2,121.35"
334,20191125,"2,117.14","2,130.04","2,116.07","2,123.50"
335,20191122,"2,098.89","2,106.42","2,093.99","2,101.96"
336,20191121,"2,123.65","2,125.36","2,088.19","2,096.60"
337,20191120,"2,140.06","2,145.97","2,123.80","2,125.32"
338,20191119,"2,151.04","2,154.41","2,137.01","2,153.24"
339,20191118,"2,161.89","2,165.89","2,151.97","2,160.69"
340,20191115,"2,137.96","2,165.02","2,135.26","2,162.18"
341,20191114,"2,127.54","2,139.23","2,121.32","2,139.23"
342,20191113,"2,132.48","2,133.37","2,118.67","2,122.45"
343,20191112,"2,131.26","2,140.94","2,121.80","2,140.92"
344,20191111,"2,139.07","2,139.07","2,119.07","2,124.09"
345,20191108,"2,154.18","2,155.94","2,133.75","2,137.23"
346,20191107,"2,141.05","2,147.01","2,135.45","2,144.29"
347,20191106,"2,142.69","2,156.23","2,138.83","2,144.15"
348,20191105,"2,133.66","2,143.12","2,128.70","2,142.64"
349,20191104,"2,111.32","2,130.83","2,111.32","2,130.24"
350,20191101,"2,084.79","2,100.42","2,081.53","2,100.20"
351,20191031,"2,089.22","2,103.71","2,083.48","2,083.48"
352,20191030,"2,093.51","2,093.51","2,075.54","2,080.27"
353,20191029,"2,103.92","2,105.17","2,088.04","2,092.69"
354,20191028,"2,096.67","2,104.39","2,089.76","2,093.60"
355,20191025,"2,091.16","2,091.24","2,079.30","2,087.89"
356,20191024,"2,089.85","2,089.85","2,067.90","2,085.66"
357,20191023,"2,086.81","2,088.25","2,074.88","2,080.62"
358,20191022,"2,076.29","2,093.81","2,073.08","2,088.86"
359,20191021,"2,067.97","2,067.97","2,059.33","2,064.84"
360,20191018,"2,082.23","2,088.54","2,057.89","2,060.69"
361,20191017,"2,081.76","2,087.15","2,072.49","2,077.94"
362,20191016,"2,080.92","2,090.01","2,073.80","2,082.83"
363,20191015,"2,064.78","2,073.21","2,064.34","2,068.17"
364,20191014,"2,068.13","2,075.10","2,065.53","2,067.40"
365,20191011,"2,048.08","2,053.94","2,040.48","2,044.61"
366,20191010,"2,030.13","2,040.88","2,010.90","2,028.15"
367,20191008,"2,029.37","2,046.81","2,024.63","2,046.25"
368,20191007,"2,031.53","2,034.94","2,016.19","2,021.73"
369,20191004,"2,028.40","2,039.43","2,020.69","2,020.69"
370,20191002,"2,058.23","2,058.23","2,031.91","2,031.91"
371,20191001,"2,062.44","2,077.48","2,057.91","2,072.42"
372,20190930,"2,045.77","2,064.99","2,042.01","2,063.05"
373,20190927,"2,066.96","2,066.96","2,044.75","2,049.93"
374,20190926,"2,082.66","2,087.33","2,064.34","2,074.52"
375,20190925,"2,093.47","2,095.27","2,072.41","2,073.39"
376,20190924,"2,090.19","2,101.63","2,085.91","2,101.04"
377,20190923,"2,087.70","2,095.54","2,085.60","2,091.70"
378,20190920,"2,080.86","2,092.37","2,077.30","2,091.52"
379,20190919,"2,070.53","2,089.81","2,070.53","2,080.35"
380,20190918,"2,064.42","2,075.63","2,058.52","2,070.73"
381,20190917,"2,058.72","2,066.33","2,055.17","2,062.33"
382,20190916,"2,056.26","2,062.22","2,044.80","2,062.22"
383,20190911,"2,043.72","2,050.80","2,040.04","2,049.20"
384,20190910,"2,024.79","2,034.28","2,021.58","2,032.08"
385,20190909,"2,013.38","2,029.80","2,013.28","2,019.55"
386,20190906,"2,016.11","2,017.20","2,005.69","2,009.13"
387,20190905,"1,993.62","2,015.39","1,992.51","2,004.75"
388,20190904,"1,962.43","1,988.53","1,962.08","1,988.53"
389,20190903,"1,966.50","1,976.37","1,960.15","1,965.69"
390,20190902,"1,961.19","1,973.25","1,958.59","1,969.19"
391,20190830,"1,951.66","1,971.21","1,951.30","1,967.79"
392,20190829,"1,943.55","1,947.15","1,928.49","1,933.41"
393,20190828,"1,929.96","1,943.62","1,926.43","1,941.09"
394,20190827,"1,928.98","1,937.42","1,919.28","1,924.60"
395,20190826,"1,915.34","1,924.49","1,909.92","1,916.31"
396,20190823,"1,942.42","1,953.85","1,940.60","1,948.30"
397,20190822,"1,966.60","1,967.96","1,951.01","1,951.01"
398,20190821,"1,954.57","1,971.12","1,954.47","1,964.65"
399,20190820,"1,942.99","1,964.16","1,937.53","1,960.25"
